First Name,Last Name,Company,Email,Phone,Lead Source,Lead Status,Industry,Created Date
Carlos,Simmons,"Brown, Ruiz and Martinez",alison83@hotmail.com,901.981.7946,Web,Converted,Healthcare,2025-03-11
Melanie,Green,"Carney, Gomez and Anderson",lvasquez@hotmail.com,430.107.1396,Phone Inquiry,New,Retail,2024-12-25
Brandon,Bailey,"Lewis, Davidson and Vaughn",parkerwilliam@yahoo.com,001-015-569-9023x55770,Email,Lost,Healthcare,2025-03-25
Derek,Moore,Mcclain-Herrera,abowers@hotmail.com,8495880395,Social Media,Converted,Education,2025-05-24
Sabrina,Flynn,Montes LLC,tonya82@obrien.com,001-504-617-3574x384,Referral,Lost,Finance,2024-09-23
Daniel,Glover,Gentry Group,jstein@peterson.net,521-823-0768x1040,Email,Lost,Healthcare,2025-04-10
Melanie,Wiggins,Owens-Williams,lanelarry@gmail.com,334-485-7142x24109,Web,Lost,Retail,2025-02-20
Willie,Clark,Dunn-Nelson,georgecollins@yahoo.com,+1-702-070-1601,Ads,Lost,Manufacturing,2024-12-30
Philip,Bush,"Soto, Vaughn and Griffin",martin38@gmail.com,001-792-171-7477x33294,Referral,Lost,Finance,2025-07-07
Michael,White,"Rivera, Valencia and Nguyen",jonesdaniel@yahoo.com,245.992.8161x581,Social Media,Converted,Software,2025-05-21
Kevin,Murray,"Gutierrez, Oliver and Kelley",njones@hotmail.com,001-669-583-2197,Phone Inquiry,Converted,Education,2024-08-31
Brittany,Ford,"Davis, Wallace and Parker",georgegina@hotmail.com,001-657-013-2902x27846,Ads,New,Software,2025-03-14
Becky,Gonzalez,"Rich, Evans and Bauer",wrobbins@gmail.com,001-098-624-0580,Ads,Lost,Finance,2024-07-18
Jacqueline,Hoover,Rodriguez-Campbell,ryanlawrence@flores.net,272.386.5624,Phone Inquiry,Contacted,Software,2025-06-21
Elizabeth,Taylor,Wong and Sons,iproctor@gmail.com,(679)692-7868,Email,Lost,Retail,2025-06-01
Shannon,Kelly,Coleman Inc,jenniferadams@hotmail.com,001-500-975-1971,Referral,Lost,Retail,2024-09-11
Jessica,Fox,Marshall-Miller,thomasharmon@miller.com,+1-058-077-8795x654,Email,Lost,Retail,2024-11-07
Gary,Neal,"Curry, Acosta and Elliott",klane@douglas.org,4712814429,Phone Inquiry,Qualified,Software,2024-11-04
Joshua,Scott,"Rodriguez, Thompson and Vargas",lwood@patton-young.com,051.292.7663x72395,Phone Inquiry,New,Manufacturing,2024-08-08
Dawn,Campos,Williams Group,vturner@hotmail.com,667.428.6047,Social Media,New,Retail,2024-12-13
Erika,Nixon,"Blanchard, Davis and Schmidt",pbishop@yahoo.com,441-496-7393x85258,Referral,New,Manufacturing,2024-07-22
Emily,Decker,Jenkins PLC,ubell@king-johnson.org,093-911-1926,Web,New,Finance,2025-03-29
Kathryn,Wong,Kemp Ltd,kenneth17@hammond-schwartz.com,214-066-5044x271,Referral,New,Education,2025-01-24
Tiffany,Gonzalez,White-Vasquez,probinson@gaines.com,011-947-0720,Referral,Contacted,Finance,2025-07-15
Benjamin,Myers,Graves Group,zmendoza@norman.com,(719)855-4601x5851,Phone Inquiry,New,Education,2025-06-09
Steve,Miranda,"Harris, Spencer and Ponce",heather15@miller-chen.com,(030)937-6184,Referral,Lost,Manufacturing,2025-01-28
Amanda,Flowers,Levy-Smith,morganjennifer@yahoo.com,387-829-3102,Email,Qualified,Finance,2025-01-23
Desiree,Ruiz,"Williams, Haynes and Anderson",conwaylori@bryant.org,117-993-1365,Social Media,Converted,Manufacturing,2025-05-29
Mary,Rojas,Nguyen-Daugherty,mary30@thompson.biz,(582)739-0219,Ads,New,Finance,2024-12-11
Kimberly,Smith,Miller-Smith,robert72@thomas.net,632.909.2791x456,Email,New,Education,2024-07-19
Angela,Lee,"Davila, Montgomery and Huffman",qtownsend@hill.com,(772)200-5436,Web,Qualified,Education,2024-10-23
Matthew,Trujillo,Williams-Yang,kristenwashington@jones.info,001-956-353-1531,Ads,Lost,Healthcare,2024-10-18
Joan,Kane,Vance-Jones,zamoradustin@hotmail.com,265.273.5435x209,Ads,Contacted,Software,2024-08-10
Juan,Rodriguez,Ellis-Jackson,oliviamunoz@hotmail.com,+1-298-316-8739x774,Social Media,Contacted,Software,2024-07-23
Jessica,Fitzgerald,Wright Group,robinvillanueva@baird-williams.info,001-806-867-1773x1806,Ads,Qualified,Manufacturing,2024-10-10
David,Phillips,"Duarte, Smith and Caldwell",vhodge@johnson.biz,(570)165-8046,Social Media,New,Education,2025-05-06
Joseph,Shah,"Johnston, Clark and Cohen",robertsonrenee@yahoo.com,1657905528,Web,Qualified,Education,2025-04-17
Carl,Fletcher,Taylor LLC,banksjo@pitts.com,548-640-1557x78817,Phone Inquiry,Qualified,Software,2025-04-19
Amanda,Bryan,Hayes-Richardson,patriciaellis@myers.com,124-127-2380,Social Media,Qualified,Software,2024-11-08
Robert,Fleming,Wells Group,carterbryan@gmail.com,569.557.9887x74924,Phone Inquiry,Lost,Software,2024-09-22
Kristina,Perez,Arellano-Carrillo,michaelbryant@montgomery.net,222-231-0592x7452,Phone Inquiry,Qualified,Manufacturing,2024-10-05
Anna,Johnson,Spence-Hernandez,amandamartinez@gmail.com,(727)520-8854x7492,Phone Inquiry,Contacted,Healthcare,2025-05-24
Annette,Meadows,Morgan-Rodriguez,taylorandrea@yahoo.com,6937515093,Referral,Converted,Manufacturing,2025-03-01
Alicia,Harrington,Gonzalez-Miller,daughertypreston@yahoo.com,998-056-2656x50455,Email,Converted,Education,2024-11-14
Tiffany,Sawyer,Lewis Group,zroberts@hotmail.com,(629)912-3478x51961,Phone Inquiry,Lost,Healthcare,2024-07-20
Robert,Rocha,Thompson-Murray,jacobjames@henry.org,787-300-2447x1462,Ads,Converted,Retail,2025-01-25
Rebecca,Newman,Wilson LLC,georgemichael@yahoo.com,001-647-158-9042,Email,Contacted,Software,2025-02-28
Brian,Flores,"Taylor, Martin and Nelson",brandon48@hotmail.com,832-192-8554,Email,Lost,Finance,2024-10-31
Gina,Barker,Ferguson LLC,taylorjuan@jenkins-mccall.com,328-338-9888,Phone Inquiry,Converted,Education,2025-04-16
Katelyn,Wilson,Moon-Wilson,mendozalarry@taylor-ramos.org,524.013.2234x23216,Ads,Lost,Retail,2025-04-12
Kathryn,Rodriguez,Hampton Group,danielmcguire@watkins.com,401-193-9325,Web,Lost,Retail,2024-07-29
Christopher,Singleton,Rush-Bailey,williamjones@hines.com,(801)387-5927,Referral,Lost,Finance,2025-04-05
Susan,White,Zavala-Coleman,urodriguez@owens.com,548.015.7164x7947,Email,Qualified,Retail,2024-10-13
Angela,Roberts,Lopez-Jones,harry71@yahoo.com,811.266.9121x535,Email,Converted,Manufacturing,2024-10-03
Brooke,Ewing,Hall Group,kathy99@yahoo.com,001-657-967-8427x11477,Email,Converted,Software,2024-10-15
Courtney,Taylor,Rojas Inc,stantonpatrick@hotmail.com,249-911-8773x47784,Social Media,Contacted,Software,2025-02-13
Matthew,Heath,"Smith, Gallagher and Ewing",ycole@stevens-johnson.net,+1-427-624-6719x78897,Referral,Lost,Healthcare,2025-01-18
Anna,Moore,Myers Group,katie45@gmail.com,9025590561,Social Media,Contacted,Manufacturing,2024-12-31
Michael,Howard,Brown-Sanchez,brittany14@morgan.net,076-986-4079x05696,Phone Inquiry,Lost,Healthcare,2024-11-20
Ashley,Stokes,Vazquez and Sons,wshaw@hotmail.com,294-563-7183x44049,Web,New,Retail,2024-12-21
Linda,Weber,Robbins PLC,joshua98@simmons-reed.com,+1-484-685-3664x9878,Referral,Lost,Manufacturing,2024-09-26
Nicole,Burton,"Huffman, Ray and Lewis",sharon89@yahoo.com,001-083-572-3246,Referral,Qualified,Manufacturing,2024-12-24
Lucas,Greer,Walters Group,debbie49@gmail.com,(312)303-4778x6603,Social Media,Qualified,Healthcare,2024-09-17
Joseph,Johnson,Hopkins-Thompson,dcasey@edwards.com,(516)231-9818x98471,Social Media,Converted,Retail,2024-10-18
Carol,Mejia,Murphy-Silva,selenarobinson@gmail.com,(347)649-0785,Phone Inquiry,Converted,Retail,2025-04-15
Stacy,Stewart,Wells-Sanchez,michaelbaldwin@yahoo.com,9003486451,Email,Lost,Retail,2025-02-10
Michelle,Mathews,Smith-Yu,christopher34@gmail.com,(756)041-7765,Email,Qualified,Finance,2025-04-22
Robert,Sellers,Holloway Ltd,bellcarrie@hotmail.com,001-570-027-2063x4591,Web,Contacted,Retail,2024-08-30
Eric,Black,"Hines, Bradford and Jennings",vmendoza@gmail.com,295-431-6526x693,Web,Converted,Manufacturing,2024-07-26
Stacy,Leblanc,"Salazar, Perez and Davis",josechristian@gmail.com,(969)421-5291x0867,Referral,Contacted,Finance,2025-06-04
Emily,Wilson,"Harris, Shah and Li",julie62@yahoo.com,934.362.6204,Ads,Lost,Retail,2024-10-27
Joe,Hayes,Wood Ltd,smithdean@yahoo.com,001-636-694-1180x053,Ads,Converted,Education,2025-01-16
Rebekah,Barajas,"Coffey, George and Goodman",kingchristine@madden-lambert.com,+1-092-428-7572,Social Media,Qualified,Software,2024-08-21
Logan,Moreno,Green LLC,victormcpherson@adkins-howe.com,948-562-5728x703,Referral,Qualified,Finance,2024-09-13
Brian,White,Green-Mccarthy,carneysara@gmail.com,587.771.2151x342,Email,Contacted,Retail,2025-06-07
Gary,Hicks,Elliott-Alvarado,foxashley@knapp-sanchez.info,+1-150-416-5915x20177,Web,Converted,Finance,2025-01-10
Courtney,Adams,"Smith, Booker and Douglas",stacey92@gmail.com,4501896164,Email,New,Software,2024-09-25
John,Wise,Davis-Phelps,schan@goodwin.info,(492)515-8377x67499,Social Media,Qualified,Manufacturing,2024-12-29
Christopher,Henderson,Austin-Hamilton,williamsmatthew@yahoo.com,+1-327-881-4761x74224,Referral,Lost,Software,2025-06-09
John,Patterson,"Williams, Jones and Williams",dgutierrez@cortez.org,801-722-6016,Web,Converted,Retail,2025-06-23
Janet,Edwards,"Gibson, Santiago and Hanson",tammy23@gmail.com,941-680-0610,Phone Inquiry,Lost,Healthcare,2024-09-22
Diana,Stevens,Melton-Church,christine95@hotmail.com,+1-641-220-3103x03723,Email,Contacted,Software,2025-01-03
Megan,Garrison,"Lee, Turner and Ford",kjohnson@gmail.com,001-777-079-3349x6050,Email,Lost,Software,2024-08-26
Crystal,Marquez,Allison-Mclaughlin,freemantodd@hotmail.com,001-973-080-6958x1467,Web,Lost,Healthcare,2024-09-01
Troy,Mcmillan,West-Graham,jessica75@hall-robinson.com,+1-724-665-7293x417,Web,Converted,Manufacturing,2024-09-06
Glen,Moore,Garcia-Perry,jimmy80@gmail.com,(452)280-1561x931,Ads,New,Finance,2025-02-21
Jeffrey,Scott,Glover-Hammond,melissarusso@hotmail.com,+1-107-711-9918x08121,Referral,Converted,Retail,2025-06-21
Jamie,Ward,"Carter, Alexander and Hunter",deborahcook@martinez.info,(037)548-2145x65328,Web,Contacted,Software,2024-12-28
Kristin,Taylor,Gutierrez-Ortiz,sherry72@gmail.com,001-811-556-2606x029,Social Media,Lost,Education,2024-08-09
Tiffany,Whitney,"Liu, Kaufman and Barnes",regina04@hotmail.com,+1-267-389-9756x341,Social Media,Converted,Finance,2024-08-01
Amanda,Price,"Singh, Martinez and Braun",christopherarnold@hotmail.com,200-894-3468x10548,Social Media,Lost,Healthcare,2024-12-02
David,Sherman,West PLC,pmorgan@zhang.net,+1-354-492-6831x589,Phone Inquiry,Qualified,Education,2024-09-30
Mackenzie,Ward,Thomas Group,davisroger@gmail.com,371.586.9886x4976,Phone Inquiry,Qualified,Education,2025-01-04
Hannah,Gould,"Mcpherson, Colon and Thomas",idawson@palmer.info,028.519.6115x9408,Social Media,New,Education,2024-09-15
David,Torres,Turner-Tucker,kristenfisher@small-lewis.info,1851067949,Ads,New,Finance,2025-01-09
Rachel,Harrington,Davenport-Bass,williammurray@contreras-hernandez.com,996-636-5807,Ads,Contacted,Retail,2025-04-29
Joshua,Davis,Mann PLC,schneiderchristopher@hotmail.com,+1-909-837-8018,Ads,New,Finance,2024-09-25
Suzanne,Hill,Sanchez Ltd,romancatherine@yahoo.com,001-070-562-6085,Referral,Contacted,Education,2024-12-13
Jonathan,Wilson,Weaver LLC,jonathandavis@farley-gregory.com,+1-520-046-1526x546,Web,Contacted,Software,2025-07-18
Maria,Martinez,Allen PLC,gromero@avery-adams.com,861.706.3048x913,Phone Inquiry,Lost,Manufacturing,2025-05-10
Angela,Glover,Carroll-Griffin,nathanielgalloway@medina.net,007.942.0074x946,Social Media,Lost,Retail,2024-12-01
Megan,Lewis,"Campbell, Martin and Ferguson",christopher12@hawkins.org,554.743.5537x95020,Web,Contacted,Retail,2025-03-11
Thomas,Valenzuela,"Thompson, Peters and Horton",ymedina@hotmail.com,+1-180-715-6956x2017,Ads,Qualified,Manufacturing,2024-12-08
Sharon,Wallace,Paul LLC,christopheraustin@yahoo.com,001-337-504-7930x361,Phone Inquiry,New,Manufacturing,2025-06-20
Joshua,Mason,Arnold Ltd,chapmanjulie@green.com,430.894.8706x05664,Referral,Qualified,Manufacturing,2024-09-03
Erin,Owens,Holmes-Williams,ramirezrobert@stewart-myers.com,903-613-3254,Social Media,Contacted,Healthcare,2024-08-11
Connie,Davis,Reynolds-Johnson,john73@yahoo.com,5831997179,Web,Converted,Finance,2024-09-04
Christopher,Brown,Bennett Ltd,bryanlang@turner.biz,108-046-6196,Ads,Contacted,Retail,2024-10-16
Michelle,Cobb,"Smith, Reyes and Pope",debra07@murphy.org,001-193-928-4567x972,Referral,New,Software,2024-10-20
Devin,Williams,Collins Group,brandy82@gmail.com,495.450.8920x3880,Referral,Qualified,Education,2024-12-28
Maurice,Bray,"Kerr, Glover and Peterson",vgreene@hotmail.com,001-594-652-1707,Ads,Converted,Retail,2024-10-11
Samantha,Fowler,"Hall, Hanson and Allen",lharris@gmail.com,(015)081-2473x950,Phone Inquiry,New,Healthcare,2024-07-29
James,Mitchell,Mcclure Ltd,melanie32@smith.com,2615347355,Ads,Qualified,Manufacturing,2025-03-31
George,Rose,"Keith, Johns and Jones",lauralee@benson-stewart.biz,+1-309-938-4253x0428,Phone Inquiry,Qualified,Education,2025-03-01
Norma,Clark,Mueller Ltd,williampotter@potter.com,587-774-9690x33373,Social Media,Lost,Healthcare,2024-12-18
Jeffery,Coleman,Duncan-Walls,andrea21@yahoo.com,853.907.8956x776,Web,Converted,Software,2024-12-23
Michael,Jimenez,Reyes-White,deanna51@kirby-hunt.com,311-150-8353x544,Phone Inquiry,Qualified,Education,2025-05-03
Lisa,Sutton,Lee-Munoz,alan44@logan-powell.biz,001-078-263-3373,Email,New,Software,2025-02-03
Brenda,Tran,Sharp-Murray,megan66@gonzales.com,(292)407-5536x668,Referral,Converted,Education,2024-11-11
Mark,Johnson,Weeks and Sons,nbaird@yahoo.com,863-715-9741,Web,Qualified,Education,2024-09-22
Damon,Tran,Serrano PLC,lopezchad@yahoo.com,334-817-0580x2566,Web,Contacted,Healthcare,2024-09-16
Veronica,Anderson,Mendoza-Jones,monicacollins@ortega.com,001-387-430-2716,Social Media,Lost,Retail,2025-03-09
Lindsey,Fox,"Suarez, Stevens and Johnston",debbie75@kirby.com,(329)676-2916x03248,Referral,Converted,Healthcare,2024-11-08
Elizabeth,Jones,"Bowen, Robinson and Snyder",charles18@ortiz-martin.com,070.176.5636x00412,Ads,Lost,Software,2024-11-22
Ellen,Marshall,Jones-Kelley,rtaylor@jackson.org,241-862-1042,Phone Inquiry,Qualified,Healthcare,2025-01-05
Michael,Robinson,Stafford PLC,ohorton@davidson.biz,001-470-900-6335x331,Email,Qualified,Manufacturing,2024-07-24
Robert,Hays,Hoover-Frazier,susandavis@jackson.com,583-938-6613x31552,Web,Contacted,Retail,2024-07-23
Richard,Stewart,Lewis-Robinson,bradley36@yahoo.com,001-971-892-4195x62525,Phone Inquiry,Lost,Retail,2025-06-13
Elizabeth,Jones,Franklin PLC,vdixon@gmail.com,903.091.4363x91025,Ads,Lost,Education,2025-01-27
Kenneth,Hernandez,May and Sons,dennis50@hotmail.com,(403)553-3803x39685,Web,Lost,Software,2024-09-27
Scott,Smith,Jones-Lee,davidthompson@guerra.com,(742)336-2934x49734,Email,Qualified,Retail,2025-06-17
Kimberly,Miller,Sanders-Jackson,vwagner@yahoo.com,001-270-661-4982x82467,Web,Lost,Education,2024-11-13
Shawn,Brooks,"Castillo, Cook and Espinoza",sabrinasmith@cross.biz,(567)491-6016x9236,Web,Converted,Healthcare,2024-10-25
Kelsey,Walton,Hicks-Burns,curtissara@hotmail.com,370.502.4972,Phone Inquiry,New,Finance,2024-10-24
John,Lane,"Skinner, Smith and Wise",fmccarthy@hotmail.com,626.448.8694,Social Media,Qualified,Education,2025-04-29
Robert,Walter,"Booth, Rodriguez and Armstrong",josephclark@hotmail.com,(402)701-1686x4622,Phone Inquiry,Lost,Software,2024-12-10
Jacob,Taylor,White-Fry,jacobbrown@gmail.com,001-346-791-2141x61415,Referral,Qualified,Education,2024-07-29
Brenda,Woods,"Hodges, Smith and Adams",davisalexa@bennett.com,759.655.5535x6690,Referral,Qualified,Healthcare,2024-12-03
Morgan,Drake,Bryant Ltd,anthonymartinez@hotmail.com,357-978-6305x050,Ads,Lost,Software,2025-05-27
Jill,Gregory,Lawson Group,ronnie71@cruz.net,001-802-714-8727,Web,Converted,Finance,2024-08-31
Timothy,Fernandez,Lewis Ltd,grahamjennifer@hickman.biz,001-434-712-8715x39915,Ads,Contacted,Retail,2024-12-11
Renee,Paul,"James, May and Hoffman",jeffreywilson@gmail.com,159-319-5256,Social Media,New,Education,2025-02-27
Jillian,Collins,"Nichols, Boone and Whitney",lauren28@hotmail.com,+1-931-608-7524x377,Phone Inquiry,New,Finance,2024-09-13
Carolyn,Thomas,"Sweeney, Carey and Johnson",wayne14@hotmail.com,001-737-460-5233,Web,Lost,Software,2025-04-16
Jill,Leblanc,Gates Ltd,tracey20@hotmail.com,(567)566-1844x3861,Ads,Contacted,Healthcare,2024-09-06
Marcus,Moody,Horn Ltd,kpena@gmail.com,742.333.0591x266,Ads,Qualified,Education,2025-04-07
Meagan,Howe,Kelly Group,wilsonzachary@watkins-booker.biz,013.674.9261,Ads,Qualified,Healthcare,2025-05-16
Steven,Meyers,Hill-Delgado,wilsonchristopher@yahoo.com,+1-830-999-7419x2676,Phone Inquiry,Lost,Finance,2024-11-10
Ashley,Garcia,Reeves PLC,bhess@hawkins-herrera.net,189.813.1292x0875,Phone Inquiry,Converted,Finance,2024-09-03
Benjamin,Andrews,"Martin, Hart and York",whitneywilliam@burch-jackson.com,408.487.2975,Phone Inquiry,Contacted,Education,2025-02-05
Renee,Shea,"Medina, Clark and Garcia",benjaminthomas@bernard.net,954.296.1844,Social Media,Contacted,Software,2024-12-13
Debra,Martin,Miller-King,amandajones@hotmail.com,359-892-6256x609,Email,Lost,Retail,2024-10-22
Chris,Martinez,Sutton Group,danielle55@thomas-yates.com,1636112849,Social Media,Qualified,Software,2025-06-01
Lindsay,Davis,Graves-Grimes,mosleygeorge@yahoo.com,(588)967-9240,Email,Qualified,Education,2025-04-10
William,Moore,Thomas PLC,sellersdanielle@yahoo.com,001-396-727-5784x468,Social Media,Lost,Finance,2025-07-18
Jennifer,Bradshaw,Torres Inc,ftownsend@hotmail.com,131-290-1487,Phone Inquiry,Converted,Healthcare,2025-05-27
Nancy,Hayden,Rhodes-Randolph,rjimenez@barron.org,068.538.9097,Email,Qualified,Education,2024-09-21
Emily,Macias,"Mckee, Thompson and Richardson",stephanie67@jackson-booker.com,+1-381-447-4430x96348,Social Media,Lost,Healthcare,2025-06-03
Patricia,Walls,"Charles, Brown and Smith",kenneth10@yahoo.com,001-265-016-7318x8261,Email,Contacted,Manufacturing,2025-07-07
Tony,Moore,"Wright, Ruiz and Brooks",imcclain@yahoo.com,772-256-0531,Referral,Converted,Healthcare,2024-09-29
Justin,Anderson,Manning-Santana,stacymoyer@wilson-burns.info,+1-256-862-1102x25803,Referral,Lost,Software,2024-08-07
Erika,Peterson,"Mclaughlin, Hamilton and Roberts",hodgesjohn@gmail.com,001-823-414-3637x1892,Email,Lost,Manufacturing,2024-09-29
Victoria,Garza,"Hernandez, Martinez and Morales",sarahsimmons@hotmail.com,106.684.3356,Phone Inquiry,Lost,Manufacturing,2025-01-20
Bryan,Simmons,Torres LLC,sherry63@yahoo.com,2000534749,Ads,Contacted,Healthcare,2024-08-26
Ryan,King,Cox-Torres,vegakaylee@rivera.com,001-989-534-3961x1291,Web,Contacted,Education,2024-08-02
Brenda,Barr,"Roth, Lee and Griffin",mcmahonchristine@swanson-mayo.com,+1-202-368-4855,Social Media,Qualified,Software,2025-01-08
Crystal,Wilson,Jones-Barnes,carolhorton@roberts.com,001-367-881-2786x866,Phone Inquiry,New,Education,2025-03-10
Joseph,White,Armstrong PLC,ugordon@green.com,+1-123-083-4024,Phone Inquiry,New,Manufacturing,2025-07-13
Dean,Marks,Day and Sons,smithmichael@compton.net,269-450-0534x240,Referral,Lost,Manufacturing,2025-02-11
Diane,Parrish,"Rodriguez, Reese and Reyes",lisawalker@yahoo.com,962.736.5271,Referral,New,Healthcare,2025-01-26
Hunter,Lopez,Lopez Group,andrew22@mcdaniel-lopez.com,637-618-2091,Email,Qualified,Education,2024-12-11
Patrick,Rodriguez,Hines Ltd,johnmiller@mays.com,1851327972,Ads,Lost,Manufacturing,2024-11-14
Martin,Moore,Stephens LLC,bryancurtis@garcia-tanner.biz,(030)366-2543,Web,Qualified,Manufacturing,2025-07-10
Natasha,Cruz,"Carson, Rodriguez and Jackson",cristiansosa@jones-cook.com,092-268-5926,Social Media,Lost,Retail,2024-09-14
Patricia,Mcdaniel,"Roth, Bailey and Garcia",sarah10@gmail.com,001-252-677-1196x42152,Ads,Lost,Education,2024-09-26
Katrina,Gomez,Coleman-Steele,devon36@yahoo.com,+1-788-788-3619,Web,Converted,Software,2025-04-21
Robert,Lane,"Shepherd, Robinson and Miller",harrismelissa@yahoo.com,+1-721-055-2472,Referral,Qualified,Finance,2025-06-07
Melissa,Bonilla,Sanchez-Carey,daviddominguez@bennett.biz,(019)179-2025x213,Ads,New,Healthcare,2024-08-16
Alexander,Guerra,Hernandez-White,theodore57@dominguez.com,+1-282-066-7849x843,Web,New,Healthcare,2024-12-29
Sarah,Nelson,Boyd and Sons,omontgomery@white-reese.net,+1-177-566-2056x341,Referral,Qualified,Software,2024-08-27
Christian,Morrison,Johnson-Campbell,lewisalex@lopez-harris.com,419.909.7005,Web,Qualified,Software,2024-08-23
Sherry,Smith,Walton-Benjamin,karen52@leonard.net,820-967-9042,Email,Qualified,Retail,2024-09-14
Faith,Miller,"Davis, Higgins and Wilkerson",victoriamason@franklin.info,(545)960-6339,Phone Inquiry,Contacted,Finance,2025-03-10
Charles,Hernandez,"Gamble, Davis and Smith",portershawn@gmail.com,214-955-1127x4747,Social Media,Lost,Education,2025-03-27
Sandra,Case,"Freeman, Cox and Mitchell",scotthunt@hotmail.com,516-874-0903x80214,Ads,Contacted,Finance,2024-12-10
Eric,Ross,Walker Group,steven87@miller.com,(636)515-5973x7147,Referral,New,Education,2024-08-01
Amy,Fry,Bowman LLC,zbrown@clarke-irwin.com,3064421214,Phone Inquiry,Converted,Manufacturing,2024-12-22
Christopher,Russo,Savage-Warren,mariadavis@yahoo.com,423-567-7826x59608,Referral,Lost,Education,2025-05-18
Patricia,Gonzalez,"Contreras, Jensen and Morris",hernandezstephen@gmail.com,516.480.7279x1033,Referral,Contacted,Healthcare,2024-12-28
Heather,Schroeder,"Gray, Bailey and Farley",lisa04@shaw-parrish.info,+1-766-558-6851x2765,Ads,Qualified,Healthcare,2024-09-24
Angela,Martin,James-Bruce,jacqueline11@gmail.com,096-179-8178,Email,New,Healthcare,2025-02-28
Linda,Contreras,Lewis-Frank,gonzalezterrence@gmail.com,(766)053-8444x463,Email,Converted,Finance,2024-07-19
Rachel,Perry,Johnson LLC,george96@gmail.com,+1-639-609-6262,Web,Lost,Retail,2024-12-21
Rebecca,Holmes,Hall-Mckinney,welchkristen@rangel.com,110.609.2098,Social Media,Qualified,Manufacturing,2025-07-10
Teresa,Armstrong,Newton and Sons,jacob34@gmail.com,+1-364-041-2091,Phone Inquiry,Qualified,Healthcare,2024-08-30
Stephen,Carlson,Thomas LLC,jonesmegan@myers.com,(171)366-5722x40299,Email,Contacted,Healthcare,2025-06-14
Anthony,Daugherty,Webb-Mendez,aimeescott@lee.net,8823513052,Phone Inquiry,New,Finance,2024-10-11
Christopher,Holt,Adams Group,baileyandrea@owens-lamb.biz,634.234.6199x42376,Phone Inquiry,Converted,Retail,2025-06-25
Sean,Carlson,Cabrera-Dean,wgonzalez@yahoo.com,+1-172-084-9649x8560,Social Media,Qualified,Manufacturing,2024-08-31
Hector,Morris,Howard Inc,nathan51@flores.com,795.381.6493,Email,New,Manufacturing,2025-02-07
Jeff,Hoffman,"Franklin, Ware and Heath",bfleming@li-gonzalez.com,704.611.7295x9639,Phone Inquiry,Qualified,Software,2024-07-26
Justin,Schneider,"Travis, Buck and Mitchell",huangsamantha@gmail.com,017-164-4556x18579,Social Media,New,Education,2024-08-05
Phillip,Horton,Snyder-Davidson,sharon10@williams.com,563-213-5800,Ads,Lost,Retail,2024-10-26
Nicole,Williams,Valentine Inc,hailey64@hotmail.com,(297)125-2967,Referral,Converted,Retail,2025-04-03
David,Rose,"Woods, Henry and Ramirez",christophermiranda@hotmail.com,583-311-7030,Referral,Contacted,Education,2025-04-04
Jason,Cardenas,Freeman LLC,kathleen47@moore.com,(679)836-3146x249,Email,Contacted,Manufacturing,2025-03-26
Curtis,Murray,Mcgee and Sons,blopez@stanley-chavez.com,815-632-6868,Web,New,Retail,2024-11-24
Brian,Nelson,Williams Group,kellypowell@hotmail.com,897-861-0313x100,Phone Inquiry,New,Education,2025-02-26
Joseph,Jones,Hill PLC,olong@hotmail.com,001-473-235-4940x128,Email,Contacted,Software,2025-07-05
Jackie,Woods,Phelps-Watts,erin22@yoder-thomas.com,+1-765-024-1209x57907,Email,Qualified,Manufacturing,2025-06-22
John,Rodriguez,Bradley LLC,karirowe@torres.com,758.474.5705x458,Phone Inquiry,Contacted,Finance,2025-05-14
Elizabeth,Grimes,"Washington, Nelson and Stone",tiffanychase@mcknight.org,001-653-136-1487x8245,Referral,Converted,Retail,2025-06-27
Mark,Lawrence,Parker-Williams,hamiltonspencer@yahoo.com,107-272-8498x2474,Social Media,Converted,Retail,2024-08-12
Lauren,Smith,Robinson PLC,freemanadam@keller-smith.com,(548)821-4236,Referral,Qualified,Healthcare,2025-03-02
Samantha,Carter,Kennedy LLC,ghenderson@mora-harper.com,001-659-234-2683,Email,Qualified,Software,2024-11-11
Kevin,Evans,"Murray, White and Patton",taylorscott@yahoo.com,575.676.6708x06129,Phone Inquiry,New,Finance,2025-07-05
Kevin,Sanchez,"Watson, Oliver and Yoder",camposphilip@yahoo.com,+1-078-701-0415x91497,Referral,Lost,Education,2025-04-12
Mark,Brown,"Richards, Dixon and Love",annacoffey@walker.com,407-931-1029x1813,Email,New,Healthcare,2024-10-05
Dale,Johnson,"Wallace, Brown and Martinez",pmcgrath@hotmail.com,979-162-0223x288,Web,Qualified,Education,2024-10-03
Thomas,Roberts,"Garcia, Chapman and Richardson",zcruz@gmail.com,662.047.1960x940,Web,Lost,Retail,2025-03-25
Debra,Sandoval,Williams-Meadows,dkhan@smith-moore.net,358.681.2259x57244,Ads,Qualified,Education,2025-07-11
Phillip,Hendricks,"Webb, Estes and Obrien",david59@bailey.com,2311775331,Phone Inquiry,Qualified,Software,2025-07-02
Nicole,Chandler,Campos-Fisher,salazardanny@jones.com,(517)629-8334,Ads,Contacted,Healthcare,2025-01-24
Samuel,Mitchell,Harmon Group,perkinscrystal@davis.com,(698)152-8733x978,Web,Converted,Education,2024-12-01
